%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0174     2.1087e-13              0    -4.2162e-14              0     2.3737e-14              0     4.2162e-14              0     7.7178e-14
    0.0177     2.0309e-13              0    -3.2907e-14              0     2.6524e-14              0     3.2907e-14              0      6.237e-14
     0.018     1.9353e-13              0     -2.704e-14              0     2.8662e-14              0      2.704e-14              0     4.3872e-14
    0.0183     1.8306e-13              0    -2.5135e-14              0     2.9961e-14              0     2.5135e-14              0     2.3302e-14
    0.0186     1.7262e-13              0    -2.7413e-14              0      3.031e-14              0     2.7413e-14              0     2.4758e-15
    0.0189     1.6315e-13              0    -3.3722e-14              0     2.9684e-14              0     3.3722e-14              0    -1.6761e-14
    0.0192     1.5553e-13              0    -4.3547e-14              0     2.8151e-14              0     4.3547e-14              0    -3.2695e-14
    0.0195     1.5044e-13              0    -5.6057e-14              0     2.5864e-14              0     5.6057e-14              0    -4.3901e-14
    0.0198     1.4838e-13              0    -7.0177e-14              0     2.3048e-14              0     7.0177e-14              0    -4.9367e-14
    0.0201     1.4957e-13              0    -8.4686e-14              0     1.9978e-14              0     8.4686e-14              0    -4.8592e-14
    0.0204     1.5391e-13              0    -9.8325e-14              0      1.696e-14              0     9.8325e-14              0    -4.1627e-14
    0.0207     1.6107e-13              0    -1.0991e-13              0     1.4298e-14              0     1.0991e-13              0    -2.9074e-14
     0.021     1.7043e-13              0    -1.1843e-13              0     1.2268e-14              0     1.1843e-13              0    -1.2035e-14
    0.0213     1.8119e-13              0    -1.2315e-13              0     1.1097e-14              0     1.2315e-13              0     7.9858e-15
    0.0216     1.9242e-13              0    -1.2368e-13              0     1.0936e-14              0     1.2368e-13              0     2.9218e-14
    0.0219     2.0314e-13              0    -1.2001e-13              0     1.1854e-14              0     1.2001e-13              0     4.9779e-14
    0.0222     2.1244e-13              0    -1.1248e-13              0     1.3823e-14              0     1.1248e-13              0     6.7844e-14
    0.0225      2.195e-13              0    -1.0179e-13              0     1.6728e-14              0     1.0179e-13              0     8.1813e-14
    0.0228     2.2372e-13              0     -8.895e-14              0     2.0372e-14              0      8.895e-14              0     9.0447e-14
    0.0231     2.2476e-13              0    -7.5129e-14              0     2.4494e-14              0     7.5129e-14              0      9.299e-14
    0.0234     2.2257e-13              0    -6.1607e-14              0     2.8796e-14              0     6.1607e-14              0      8.923e-14
    0.0237     2.1736e-13              0    -4.9638e-14              0     3.2963e-14              0     4.9638e-14              0     7.9524e-14
     0.024     2.0966e-13              0    -4.0341e-14              0     3.6698e-14              0     4.0341e-14              0     6.4768e-14
    0.0243     2.0018e-13              0    -3.4598e-14              0     3.9745e-14              0     3.4598e-14              0     4.6315e-14
    0.0246     1.8984e-13              0    -3.2976e-14              0      4.191e-14              0     3.2976e-14              0     2.5859e-14
    0.0249      1.796e-13              0    -3.5673e-14              0     4.3086e-14              0     3.5673e-14              0     5.2828e-15
    0.0252     1.7046e-13              0    -4.2503e-14              0     4.3255e-14              0     4.2503e-14              0    -1.3511e-14
