%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
     0.013    -6.0341e-13       2.87e-25              0              0    -6.0341e-13              0              0              0     1.1294e-11
    0.0132    -8.4272e-13      2.684e-25              0              0    -8.4272e-13              0              0              0     1.4583e-11
    0.0134    -1.1439e-12      2.498e-25              0              0    -1.1439e-12              0              0              0      1.853e-11
    0.0136    -1.5175e-12     2.3134e-25              0              0    -1.5175e-12              0              0              0     2.3214e-11
    0.0138    -1.9754e-12     2.1318e-25              0              0    -1.9754e-12              0              0              0     2.8715e-11
     0.014    -2.5303e-12     1.9542e-25              0              0    -2.5303e-12              0              0              0     3.5115e-11
    0.0142    -3.1966e-12      1.782e-25              0              0    -3.1966e-12              0              0              0     4.2493e-11
    0.0144    -3.9898e-12     1.6161e-25              0              0    -3.9898e-12              0              0              0     5.0928e-11
    0.0146    -4.9268e-12     1.4574e-25              0              0    -4.9268e-12              0              0              0     6.0493e-11
    0.0148    -6.0259e-12     1.3066e-25              0              0    -6.0259e-12              0              0              0     7.1258e-11
     0.015    -7.3066e-12     1.1644e-25              0              0    -7.3066e-12              0              0              0     8.3287e-11
    0.0152    -8.7898e-12     1.0311e-25              0              0    -8.7898e-12              0              0              0     9.6632e-11
    0.0154    -1.0497e-11     9.0714e-26              0              0    -1.0497e-11              0              0              0     1.1134e-10
    0.0156    -1.2453e-11      7.926e-26              0              0    -1.2453e-11              0              0              0     1.2745e-10
    0.0158    -1.4679e-11     6.8754e-26              0              0    -1.4679e-11              0              0              0     1.4497e-10
     0.016      -1.72e-11     5.9188e-26              0              0      -1.72e-11              0              0              0     1.6392e-10
    0.0162    -2.0041e-11     5.0544e-26              0              0    -2.0041e-11              0              0              0     1.8429e-10
    0.0164    -2.3225e-11     4.2794e-26              0              0    -2.3225e-11              0              0              0     2.0605e-10
    0.0166    -2.6773e-11     3.5901e-26              0              0    -2.6773e-11              0              0              0     2.2918e-10
    0.0168    -3.0707e-11     2.9822e-26              0              0    -3.0707e-11              0              0              0     2.5362e-10
     0.017    -3.5045e-11     2.4507e-26              0              0    -3.5045e-11              0              0              0     2.7929e-10
    0.0172      -3.98e-11     1.9905e-26              0              0      -3.98e-11              0              0              0     3.0612e-10
    0.0174    -4.4982e-11     1.5959e-26              0              0    -4.4982e-11              0              0              0     3.3399e-10
    0.0176    -5.0595e-11     1.2612e-26              0              0    -5.0595e-11              0              0              0      3.628e-10
    0.0178    -5.6636e-11     9.8039e-27              0              0    -5.6636e-11              0              0              0     3.9241e-10
     0.018    -6.3093e-11     7.4786e-27              0              0    -6.3093e-11              0              0              0     4.2268e-10
    0.0182    -6.9946e-11     5.5793e-27              0              0    -6.9946e-11              0              0              0     4.5346e-10
    0.0184    -7.7165e-11     4.0519e-27              0              0    -7.7165e-11              0              0              0     4.8457e-10
    0.0186    -8.4705e-11     2.8451e-27              0              0    -8.4705e-11              0              0              0     5.1586e-10
    0.0188    -9.2511e-11     1.9109e-27              0              0    -9.2511e-11              0              0              0     5.4715e-10
     0.019    -1.0051e-10     1.2053e-27              0              0    -1.0051e-10              0              0              0     5.7825e-10
    0.0192    -1.0863e-10     6.8807e-28              0              0    -1.0863e-10              0              0              0     6.0899e-10
    0.0194    -1.1676e-10     3.2343e-28              0              0    -1.1676e-10              0              0              0     6.3918e-10
    0.0196    -1.2478e-10     7.9669e-29              0              0    -1.2478e-10              0              0              0     6.6866e-10
    0.0198    -1.3257e-10    -7.0705e-29              0              0    -1.3257e-10              0              0              0     6.9725e-10
      0.02    -1.3997e-10    -1.5117e-28              0              0    -1.3997e-10              0              0              0     7.2478e-10
    0.0202    -1.4684e-10    -1.8137e-28              0              0    -1.4684e-10              0              0              0     7.5111e-10
    0.0204    -1.5298e-10    -1.7742e-28              0              0    -1.5298e-10              0              0              0     7.7609e-10
    0.0206     -1.582e-10    -1.5221e-28              0              0     -1.582e-10              0              0              0      7.996e-10
    0.0208    -1.6232e-10    -1.1573e-28              0              0    -1.6232e-10              0              0              0     8.2151e-10
     0.021    -1.6511e-10    -7.5424e-29              0              0    -1.6511e-10              0              0              0     8.4174e-10
    0.0212    -1.6637e-10    -3.6581e-29              0              0    -1.6637e-10              0              0              0     8.6018e-10
    0.0214    -1.6586e-10    -2.6625e-30              0              0    -1.6586e-10              0              0              0     8.7678e-10
    0.0216    -1.6338e-10     2.4353e-29              0              0    -1.6338e-10              0              0              0     8.9147e-10
    0.0218     -1.587e-10     4.3651e-29              0              0     -1.587e-10              0              0              0     9.0423e-10
     0.022    -1.5161e-10     5.5298e-29              0              0    -1.5161e-10              0              0              0     9.1502e-10
    0.0222    -1.4193e-10     5.9981e-29              0              0    -1.4193e-10              0              0              0     9.2385e-10
    0.0224    -1.2945e-10     5.8791e-29              0              0    -1.2945e-10              0              0              0     9.3071e-10
    0.0226    -1.1404e-10     5.3037e-29              0              0    -1.1404e-10              0              0              0     9.3563e-10
    0.0228    -9.5533e-11     4.4093e-29              0              0    -9.5533e-11              0              0              0     9.3863e-10
     0.023    -7.3839e-11     3.3287e-29              0              0    -7.3839e-11              0              0              0     9.3976e-10
    0.0232    -4.8877e-11     2.1814e-29              0              0    -4.8877e-11              0              0              0     9.3906e-10
    0.0234    -2.0606e-11     1.0679e-29              0              0    -2.0606e-11              0              0              0      9.366e-10
    0.0236     1.0972e-11     6.6821e-31              0              0     1.0972e-11              0              0              0     9.3243e-10
    0.0238     4.5816e-11    -7.6619e-30              0              0     4.5816e-11              0              0              0     9.2662e-10
     0.024     8.3841e-11    -1.3979e-29              0              0     8.3841e-11              0              0              0     9.1924e-10
    0.0242     1.2491e-10    -1.8152e-29              0              0     1.2491e-10              0              0              0     9.1036e-10
    0.0244     1.6885e-10    -2.0227e-29              0              0     1.6885e-10              0              0              0     9.0007e-10
    0.0246     2.1544e-10    -2.0388e-29              0              0     2.1544e-10              0              0              0     8.8842e-10
    0.0248      2.644e-10    -1.8923e-29              0              0      2.644e-10              0              0              0      8.755e-10
     0.025     3.1543e-10    -1.6186e-29              0              0     3.1543e-10              0              0              0     8.6138e-10
    0.0252     3.6816e-10    -1.2561e-29              0              0     3.6816e-10              0              0              0     8.4613e-10
    0.0254     4.2221e-10    -8.4346e-30              0              0     4.2221e-10              0              0              0     8.2981e-10
    0.0256     4.7714e-10    -4.1681e-30              0              0     4.7714e-10              0              0              0     8.1249e-10
    0.0258     5.3252e-10    -7.8012e-32              0              0     5.3252e-10              0              0              0     7.9424e-10
     0.026     5.8786e-10     3.5775e-30              0              0     5.8786e-10              0              0              0     7.7512e-10
    0.0262     6.4266e-10     6.6066e-30              0              0     6.4266e-10              0              0              0     7.5519e-10
    0.0264     6.9644e-10      8.887e-30              0              0     6.9644e-10              0              0              0     7.3451e-10
    0.0266     7.4869e-10     1.0363e-29              0              0     7.4869e-10              0              0              0     7.1315e-10
    0.0268      7.989e-10     1.1041e-29              0              0      7.989e-10              0              0              0     6.9116e-10
     0.027      8.466e-10     1.0977e-29              0              0      8.466e-10              0              0              0      6.686e-10
