%        w           SY11           SY12           SY13           SY21           SY22           SY23           SY31           SY32           SY33
        79              0     -0.0070627              0     -0.0070627              0     -0.0030094              0     -0.0030094              0
        80              0      -0.006671              0      -0.006671              0     -0.0028641              0     -0.0028641              0
        81              0     -0.0062019              0     -0.0062019              0     -0.0026829              0     -0.0026829              0
        82              0     -0.0056577              0     -0.0056577              0     -0.0024676              0     -0.0024676              0
        83              0     -0.0050415              0     -0.0050415              0     -0.0022184              0     -0.0022184              0
        84              0     -0.0043573              0     -0.0043573              0     -0.0019374              0     -0.0019374              0
        85              0     -0.0036095              0     -0.0036095              0      -0.001627              0      -0.001627              0
        86              0      -0.002804              0      -0.002804              0     -0.0012888              0     -0.0012888              0
        87              0     -0.0019468              0     -0.0019468              0    -0.00092645              0    -0.00092645              0
        88              0     -0.0010454              0     -0.0010454              0    -0.00054222              0    -0.00054222              0
        89              0    -0.00010699              0    -0.00010699              0    -0.00014032              0    -0.00014032              0
        90              0     0.00085966              0     0.00085966              0     0.00027611              0     0.00027611              0
        91              0      0.0018461              0      0.0018461              0     0.00070251              0     0.00070251              0
        92              0      0.0028428              0      0.0028428              0      0.0011351              0      0.0011351              0
        93              0      0.0038402              0      0.0038402              0      0.0015693              0      0.0015693              0
        94              0      0.0048287              0      0.0048287              0      0.0020003              0      0.0020003              0
        95              0      0.0057979              0      0.0057979              0      0.0024238              0      0.0024238              0
        96              0       0.006738              0       0.006738              0       0.002835              0       0.002835              0
        97              0      0.0076388              0      0.0076388              0      0.0032293              0      0.0032293              0
        98              0      0.0084906              0      0.0084906              0      0.0036022              0      0.0036022              0
        99              0      0.0092835              0      0.0092835              0      0.0039491              0      0.0039491              0
       100              0       0.010009              0       0.010009              0      0.0042658              0      0.0042658              0
       101              0       0.010657              0       0.010657              0      0.0045482              0      0.0045482              0
       102              0       0.011221              0       0.011221              0      0.0047926              0      0.0047926              0
       103              0       0.011692              0       0.011692              0      0.0049956              0      0.0049956              0
       104              0       0.012064              0       0.012064              0      0.0051538              0      0.0051538              0
       105              0       0.012332              0       0.012332              0      0.0052651              0      0.0052651              0
       106              0        0.01249              0        0.01249              0      0.0053265              0      0.0053265              0
       107              0       0.012534              0       0.012534              0      0.0053371              0      0.0053371              0
       108              0       0.012458              0       0.012458              0      0.0052909              0      0.0052909              0
       109              0       0.012263              0       0.012263              0       0.005189              0       0.005189              0
       110              0       0.011948              0       0.011948              0      0.0050347              0      0.0050347              0
       111              0       0.011515              0       0.011515              0      0.0048289              0      0.0048289              0
       112              0       0.010967              0       0.010967              0      0.0045738              0      0.0045738              0
       113              0       0.010306              0       0.010306              0      0.0042689              0      0.0042689              0
       114              0      0.0095362              0      0.0095362              0      0.0039187              0      0.0039187              0
       115              0      0.0086638              0      0.0086638              0      0.0035234              0      0.0035234              0
       116              0      0.0076956              0      0.0076956              0      0.0030886              0      0.0030886              0
       117              0      0.0066394              0      0.0066394              0      0.0026177              0      0.0026177              0
       118              0      0.0055033              0      0.0055033              0      0.0021118              0      0.0021118              0
       119              0      0.0042978              0      0.0042978              0      0.0015787              0      0.0015787              0
       120              0      0.0030331              0      0.0030331              0      0.0010209              0      0.0010209              0
       121              0      0.0017211              0      0.0017211              0     0.00044597              0     0.00044597              0
       122              0      0.0003739              0      0.0003739              0    -0.00014092              0    -0.00014092              0
       123              0     -0.0009963              0     -0.0009963              0    -0.00073574              0    -0.00073574              0
       124              0     -0.0023763              0     -0.0023763              0     -0.0013327              0     -0.0013327              0
       125              0     -0.0037525              0     -0.0037525              0     -0.0019238              0     -0.0019238              0
       126              0     -0.0051113              0     -0.0051113              0     -0.0025035              0     -0.0025035              0
