%        w           SX11           SX12           SX13           SX21           SX22           SX23           SX31           SX32           SX33
        72      0.0064017              0       0.001837              0      0.0019277              0       0.001837              0     4.5039e-05
        73      0.0058872              0      0.0015377              0      0.0023081              0      0.0015377              0      0.0003551
        74      0.0053349              0      0.0012379              0      0.0026799              0      0.0012379              0     0.00068474
        75      0.0047481              0     0.00093896              0      0.0030406              0     0.00093896              0      0.0010312
        76       0.004132              0      0.0006437              0      0.0033861              0      0.0006437              0      0.0013915
        77      0.0034911              0     0.00035361              0      0.0037137              0     0.00035361              0      0.0017623
        78      0.0028301              0     6.9921e-05              0      0.0040208              0     6.9921e-05              0      0.0021402
        79       0.002155              0    -0.00020503              0      0.0043037              0    -0.00020503              0      0.0025215
        80      0.0014706              0    -0.00047079              0      0.0045606              0    -0.00047079              0      0.0029023
        81     0.00078328              0    -0.00072541              0       0.004788              0    -0.00072541              0      0.0032786
        82     9.7792e-05              0    -0.00096884              0      0.0049846              0    -0.00096884              0      0.0036464
        83    -0.00057929              0     -0.0011995              0      0.0051475              0     -0.0011995              0      0.0040015
        84     -0.0012428              0     -0.0014172              0      0.0052753              0     -0.0014172              0      0.0043399
        85     -0.0018879              0     -0.0016222              0       0.005367              0     -0.0016222              0      0.0046575
        86     -0.0025081              0     -0.0018133              0      0.0054206              0     -0.0018133              0      0.0049505
        87     -0.0030995              0     -0.0019913              0       0.005436              0     -0.0019913              0      0.0052148
        88     -0.0036562              0     -0.0021555              0      0.0054118              0     -0.0021555              0       0.005447
        89     -0.0041747              0     -0.0023069              0      0.0053486              0     -0.0023069              0      0.0056436
        90       -0.00465              0     -0.0024449              0      0.0052457              0     -0.0024449              0      0.0058014
        91     -0.0050795              0     -0.0025709              0      0.0051044              0     -0.0025709              0      0.0059174
        92     -0.0054588              0     -0.0026843              0      0.0049245              0     -0.0026843              0      0.0059893
        93     -0.0057857              0     -0.0027861              0      0.0047076              0     -0.0027861              0      0.0060146
        94     -0.0060586              0     -0.0028773              0      0.0044555              0     -0.0028773              0      0.0059917
        95     -0.0062748              0     -0.0029575              0       0.004169              0     -0.0029575              0       0.005919
        96     -0.0064343              0     -0.0030283              0      0.0038511              0     -0.0030283              0      0.0057958
        97     -0.0065354              0      -0.003089              0      0.0035029              0      -0.003089              0      0.0056214
        98     -0.0065795              0     -0.0031412              0      0.0031281              0     -0.0031412              0      0.0053959
        99      -0.006566              0     -0.0031843              0      0.0027284              0     -0.0031843              0      0.0051197
       100     -0.0064975              0     -0.0032197              0      0.0023076              0     -0.0032197              0      0.0047938
       101     -0.0063746              0     -0.0032467              0      0.0018681              0     -0.0032467              0      0.0044196
       102     -0.0062004              0      -0.003266              0      0.0014135              0      -0.003266              0      0.0039991
       103     -0.0059785              0     -0.0032781              0     0.00094776              0     -0.0032781              0      0.0035349
       104     -0.0057111              0     -0.0032821              0     0.00047345              0     -0.0032821              0      0.0030296
       105     -0.0054036              0      -0.003279              0    -4.9596e-06              0      -0.003279              0      0.0024871
       106     -0.0050591              0     -0.0032676              0     -0.0004847              0     -0.0032676              0      0.0019107
       107     -0.0046838              0     -0.0032484              0     -0.0009613              0     -0.0032484              0      0.0013051
       108     -0.0042857              0     -0.0032185              0     -0.0014322              0     -0.0032185              0     0.00067826
       109     -0.0038716              0      -0.003176              0      -0.001893              0      -0.003176              0     3.5048e-05
       110     -0.0034406              0     -0.0031215              0     -0.0023408              0     -0.0031215              0    -0.00062483
       111     -0.0029988              0     -0.0030545              0     -0.0027719              0     -0.0030545              0     -0.0012963
       112     -0.0025522              0     -0.0029745              0     -0.0031828              0     -0.0029745              0     -0.0019741
       113     -0.0021051              0     -0.0028812              0     -0.0035712              0     -0.0028812              0     -0.0026535
       114     -0.0016638              0     -0.0027738              0     -0.0039336              0     -0.0027738              0      -0.003329
       115     -0.0012329              0     -0.0026525              0     -0.0042681              0     -0.0026525              0     -0.0039953
       116    -0.00081829              0     -0.0025163              0     -0.0045717              0     -0.0025163              0      -0.004647
       117    -0.00042468              0     -0.0023656              0     -0.0048424              0     -0.0023656              0     -0.0052789
       118    -5.6596e-05              0     -0.0022006              0      -0.005079              0     -0.0022006              0     -0.0058856
       119     0.00028112              0     -0.0020209              0     -0.0052793              0     -0.0020209              0     -0.0064622
       120     0.00058449              0     -0.0018274              0     -0.0054425              0     -0.0018274              0     -0.0070036
       121      0.0008497              0     -0.0016199              0     -0.0055674              0     -0.0016199              0     -0.0075052
       122      0.0010734              0     -0.0013992              0     -0.0056535              0     -0.0013992              0     -0.0079625
       123      0.0012529              0     -0.0011666              0     -0.0057007              0     -0.0011666              0     -0.0083713
       124      0.0013855              0    -0.00092311              0     -0.0057089              0    -0.00092311              0     -0.0087276
       125      0.0014697              0    -0.00066931              0     -0.0056786              0    -0.00066931              0     -0.0090282
       126       0.001504              0    -0.00040676              0     -0.0056103              0    -0.00040676              0     -0.0092699
       127      0.0014877              0    -0.00013718              0     -0.0055052              0    -0.00013718              0       -0.00945
       128      0.0014207              0     0.00013758              0     -0.0053645              0     0.00013758              0     -0.0095666
       129      0.0013032              0     0.00041555              0     -0.0051897              0     0.00041555              0     -0.0096176
       130      0.0011366              0     0.00069527              0     -0.0049829              0     0.00069527              0     -0.0096022
       131     0.00092219              0     0.00097451              0      -0.004746              0     0.00097451              0     -0.0095196
       132     0.00066225              0      0.0012507              0     -0.0044813              0      0.0012507              0     -0.0093697
       133     0.00035943              0      0.0015219              0     -0.0041914              0      0.0015219              0     -0.0091529
       134     1.6978e-05              0      0.0017853              0      -0.003879              0      0.0017853              0     -0.0088702
       135    -0.00036139              0       0.002039              0     -0.0035469              0       0.002039              0      -0.008523
       136    -0.00077148              0      0.0022803              0     -0.0031982              0      0.0022803              0     -0.0081134
       137     -0.0012086              0      0.0025067              0     -0.0028358              0      0.0025067              0     -0.0076441
       138     -0.0016679              0      0.0027161              0     -0.0024629              0      0.0027161              0      -0.007118
       139     -0.0021438              0      0.0029062              0     -0.0020827              0      0.0029062              0     -0.0065387
       140     -0.0026308              0      0.0030749              0     -0.0016984              0      0.0030749              0     -0.0059102
       141     -0.0031229              0        0.00322              0     -0.0013132              0        0.00322              0      -0.005237
       142     -0.0036142              0      0.0033399              0    -0.00093014              0      0.0033399              0     -0.0045238
       143     -0.0040986              0      0.0034329              0    -0.00055223              0      0.0034329              0     -0.0037759
       144     -0.0045695              0      0.0034973              0    -0.00018252              0      0.0034973              0     -0.0029989
       145      -0.005021              0      0.0035322              0     0.00017627              0      0.0035322              0     -0.0021984
       146     -0.0054468              0      0.0035367              0      0.0005215              0      0.0035367              0     -0.0013805
       147     -0.0058408              0      0.0035101              0     0.00085065              0      0.0035101              0    -0.00055145
       148     -0.0061973              0      0.0034518              0      0.0011615              0      0.0034518              0     0.00028255
       149     -0.0065107              0      0.0033621              0       0.001452              0      0.0033621              0       0.001115
       150     -0.0067756              0      0.0032413              0      0.0017203              0      0.0032413              0      0.0019395
       151     -0.0069872              0        0.00309              0      0.0019648              0        0.00309              0      0.0027497
       152      -0.007141              0      0.0029089              0      0.0021843              0      0.0029089              0      0.0035393
       153      -0.007233              0      0.0026994              0      0.0023777              0      0.0026994              0      0.0043023
       154     -0.0072597              0      0.0024634              0      0.0025443              0      0.0024634              0      0.0050325
       155     -0.0072183              0      0.0022024              0      0.0026836              0      0.0022024              0      0.0057245
       156     -0.0071063              0       0.001919              0      0.0027953              0       0.001919              0      0.0063726
       157     -0.0069223              0      0.0016155              0      0.0028795              0      0.0016155              0       0.006972
       158      -0.006665              0      0.0012948              0      0.0029366              0      0.0012948              0      0.0075178
       159     -0.0063342              0      0.0009601              0      0.0029672              0      0.0009601              0      0.0080061
       160     -0.0059304              0     0.00061415              0      0.0029721              0     0.00061415              0       0.008433
       161     -0.0054545              0     0.00026092              0      0.0029525              0     0.00026092              0      0.0087953
       162     -0.0049085              0    -9.6076e-05              0      0.0029096              0    -9.6076e-05              0      0.0090904
       163     -0.0042947              0    -0.00045353              0      0.0028449              0    -0.00045353              0      0.0093162
