%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
        59    -1.9531e-10              0    -1.6809e-10              0     6.2426e-10              0     1.2274e-11              0     6.4358e-10
        60    -1.5377e-10              0     -1.505e-10              0     6.2837e-10              0     1.8556e-11              0     6.0809e-10
        61    -1.1194e-10              0    -1.3233e-10              0     6.2511e-10              0     2.3251e-11              0     5.6231e-10
        62    -6.9972e-11              0    -1.1275e-10              0     6.1654e-10              0     2.6647e-11              0     5.1282e-10
        63     -2.823e-11              0    -9.2518e-11              0     6.0186e-10              0      2.867e-11              0     4.5755e-10
        64     1.3004e-11              0    -7.1838e-11              0     5.8106e-10              0     2.9393e-11              0     3.9705e-10
        65     5.3436e-11              0    -5.0988e-11              0     5.5444e-10              0     2.8907e-11              0     3.3219e-10
        66     9.2799e-11              0     -3.015e-11              0      5.221e-10              0     2.7324e-11              0     2.6362e-10
        67     1.3082e-10              0    -9.5953e-12              0     4.8445e-10              0     2.4774e-11              0     1.9227e-10
        68     1.6724e-10              0     1.0486e-11              0     4.4179e-10              0     2.1397e-11              0     1.1893e-10
        69     2.0184e-10              0     2.9915e-11              0     3.9442e-10              0     1.7347e-11              0     4.4368e-11
        70     2.3439e-10              0     4.8454e-11              0     3.4294e-10              0     1.2785e-11              0    -3.0394e-11
        71     2.6469e-10              0     6.5977e-11              0     2.8769e-10              0     7.8792e-12              0    -1.0467e-10
        72     2.9254e-10              0      8.228e-11              0     2.2934e-10              0     2.7996e-12              0    -1.7745e-10
        73     3.1781e-10              0     9.7272e-11              0     1.6831e-10              0    -2.2842e-12              0    -2.4809e-10
        74     3.4034e-10              0     1.1079e-10              0     1.0534e-10              0     -7.203e-12              0    -3.1561e-10
        75     3.6003e-10              0     1.2278e-10              0     4.0881e-11              0    -1.1796e-11              0    -3.7948e-10
        76     3.7678e-10              0     1.3311e-10              0    -2.4267e-11              0    -1.5906e-11              0     -4.388e-10
        77     3.9053e-10              0     1.4177e-10              0    -8.9546e-11              0    -1.9389e-11              0    -4.9303e-10
        78     4.0124e-10              0     1.4873e-10              0    -1.5441e-10              0    -2.2114e-11              0    -5.4172e-10
        79      4.089e-10              0     1.5393e-10              0    -2.1802e-10              0    -2.3961e-11              0    -5.8415e-10
        80     4.1351e-10              0     1.5744e-10              0    -2.7995e-10              0     -2.483e-11              0    -6.2012e-10
        81     4.1512e-10              0     1.5922e-10              0    -3.3939e-10              0    -2.4633e-11              0    -6.4904e-10
        82     4.1378e-10              0     1.5938e-10              0    -3.9593e-10              0    -2.3308e-11              0    -6.7091e-10
        83     4.0958e-10              0     1.5793e-10              0    -4.4881e-10              0    -2.0806e-11              0    -6.8527e-10
        84     4.0262e-10              0     1.5496e-10              0     -4.976e-10              0    -1.7101e-11              0    -6.9215e-10
        85     3.9302e-10              0     1.5061e-10              0     -5.419e-10              0    -1.2191e-11              0    -6.9171e-10
        86     3.8094e-10              0     1.4492e-10              0    -5.8106e-10              0    -6.0875e-12              0     -6.837e-10
