%     time           SX11           SX12           SX13           SX22           SX23           SX33
    0.0106              0              0    -8.8107e-06              0              0              0
    0.0108              0              0    -8.3267e-06              0              0              0
     0.011              0              0    -6.3249e-06              0              0              0
    0.0112              0              0    -2.2971e-06              0              0              0
    0.0114              0              0     4.3398e-06              0              0              0
    0.0116              0              0     1.4248e-05              0              0              0
    0.0118              0              0     2.8172e-05              0              0              0
     0.012              0              0     4.6944e-05              0              0              0
    0.0122              0              0     7.1486e-05              0              0              0
    0.0124              0              0     0.00010282              0              0              0
    0.0126              0              0     0.00014206              0              0              0
    0.0128              0              0     0.00019043              0              0              0
     0.013              0              0     0.00024927              0              0              0
    0.0132              0              0     0.00032003              0              0              0
    0.0134              0              0     0.00040428              0              0              0
    0.0136              0              0     0.00050368              0              0              0
    0.0138              0              0     0.00062006              0              0              0
     0.014              0              0      0.0007553              0              0              0
    0.0142              0              0     0.00091143              0              0              0
    0.0144              0              0      0.0010905              0              0              0
    0.0146              0              0      0.0012947              0              0              0
    0.0148              0              0      0.0015262              0              0              0
     0.015              0              0      0.0017871              0              0              0
    0.0152              0              0      0.0020795              0              0              0
    0.0154              0              0      0.0024054              0              0              0
    0.0156              0              0      0.0027666              0              0              0
    0.0158              0              0      0.0031646              0              0              0
     0.016              0              0      0.0036004              0              0              0
    0.0162              0              0      0.0040748              0              0              0
    0.0164              0              0      0.0045877              0              0              0
    0.0166              0              0      0.0051386              0              0              0
    0.0168              0              0      0.0057261              0              0              0
     0.017              0              0      0.0063477              0              0              0
    0.0172              0              0          0.007              0              0              0
    0.0174              0              0      0.0076785              0              0              0
    0.0176              0              0      0.0083774              0              0              0
    0.0178              0              0      0.0090894              0              0              0
     0.018              0              0       0.009806              0              0              0
    0.0182              0              0       0.010517              0              0              0
    0.0184              0              0       0.011212              0              0              0
    0.0186              0              0       0.011877              0              0              0
    0.0188              0              0       0.012498              0              0              0
     0.019              0              0        0.01306              0              0              0
    0.0192              0              0       0.013546              0              0              0
    0.0194              0              0        0.01394              0              0              0
    0.0196              0              0       0.014223              0              0              0
    0.0198              0              0       0.014376              0              0              0
      0.02              0              0       0.014382              0              0              0
    0.0202              0              0       0.014222              0              0              0
    0.0204              0              0       0.013879              0              0              0
    0.0206              0              0       0.013337              0              0              0
    0.0208              0              0       0.012581              0              0              0
     0.021              0              0       0.011598              0              0              0
    0.0212              0              0       0.010378              0              0              0
    0.0214              0              0      0.0089139              0              0              0
    0.0216              0              0      0.0072011              0              0              0
    0.0218              0              0      0.0052391              0              0              0
     0.022              0              0      0.0030312              0              0              0
    0.0222              0              0     0.00058487              0              0              0
    0.0224              0              0      -0.002088              0              0              0
    0.0226              0              0     -0.0049712              0              0              0
    0.0228              0              0      -0.008044              0              0              0
     0.023              0              0      -0.011281              0              0              0
    0.0232              0              0      -0.014653              0              0              0
    0.0234              0              0      -0.018127              0              0              0
    0.0236              0              0      -0.021665              0              0              0
    0.0238              0              0      -0.025228              0              0              0
     0.024              0              0      -0.028772              0              0              0
    0.0242              0              0      -0.032253              0              0              0
    0.0244              0              0      -0.035626              0              0              0
    0.0246              0              0      -0.038842              0              0              0
    0.0248              0              0      -0.041856              0              0              0
     0.025              0              0      -0.044623              0              0              0
    0.0252              0              0      -0.047099              0              0              0
    0.0254              0              0      -0.049245              0              0              0
    0.0256              0              0      -0.051021              0              0              0
    0.0258              0              0      -0.052397              0              0              0
     0.026              0              0      -0.053344              0              0              0
    0.0262              0              0       -0.05384              0              0              0
    0.0264              0              0       -0.05387              0              0              0
    0.0266              0              0      -0.053422              0              0              0
    0.0268              0              0      -0.052496              0              0              0
     0.027              0              0      -0.051095              0              0              0
    0.0272              0              0      -0.049231              0              0              0
    0.0274              0              0      -0.046922              0              0              0
    0.0276              0              0      -0.044192              0              0              0
    0.0278              0              0      -0.041074              0              0              0
     0.028              0              0      -0.037603              0              0              0
    0.0282              0              0      -0.033821              0              0              0
    0.0284              0              0      -0.029777              0              0              0
    0.0286              0              0      -0.025518              0              0              0
    0.0288              0              0      -0.021098              0              0              0
     0.029              0              0      -0.016573              0              0              0
    0.0292              0              0      -0.011996              0              0              0
    0.0294              0              0     -0.0074241              0              0              0
    0.0296              0              0     -0.0029111              0              0              0
    0.0298              0              0      0.0014906              0              0              0
      0.03              0              0      0.0057315              0              0              0
    0.0302              0              0      0.0097656              0              0              0
    0.0304              0              0       0.013551              0              0              0
    0.0306              0              0       0.017052              0              0              0
    0.0308              0              0       0.020237              0              0              0
     0.031              0              0        0.02308              0              0              0
    0.0312              0              0       0.025562              0              0              0
    0.0314              0              0        0.02767              0              0              0
    0.0316              0              0       0.029397              0              0              0
    0.0318              0              0       0.030742              0              0              0
     0.032              0              0        0.03171              0              0              0
    0.0322              0              0       0.032311              0              0              0
    0.0324              0              0        0.03256              0              0              0
    0.0326              0              0       0.032477              0              0              0
    0.0328              0              0       0.032087              0              0              0
     0.033              0              0       0.031415              0              0              0
    0.0332              0              0       0.030492              0              0              0
    0.0334              0              0       0.029348              0              0              0
    0.0336              0              0       0.028017              0              0              0
    0.0338              0              0       0.026531              0              0              0
     0.034              0              0       0.024924              0              0              0
    0.0342              0              0       0.023227              0              0              0
    0.0344              0              0       0.021471              0              0              0
    0.0346              0              0       0.019687              0              0              0
    0.0348              0              0         0.0179              0              0              0
     0.035              0              0       0.016135              0              0              0
    0.0352              0              0       0.014414              0              0              0
    0.0354              0              0       0.012755              0              0              0
    0.0356              0              0       0.011175              0              0              0
    0.0358              0              0      0.0096852              0              0              0
     0.036              0              0       0.008296              0              0              0
    0.0362              0              0      0.0070138              0              0              0
    0.0364              0              0      0.0058424              0              0              0
    0.0366              0              0      0.0047832              0              0              0
    0.0368              0              0      0.0038351              0              0              0
     0.037              0              0      0.0029952              0              0              0
    0.0372              0              0      0.0022588              0              0              0
    0.0374              0              0      0.0016198              0              0              0
    0.0376              0              0      0.0010709              0              0              0
    0.0378              0              0     0.00060422              0              0              0
     0.038              0              0     0.00021119              0              0              0
    0.0382              0              0    -0.00011693              0              0              0
    0.0384              0              0    -0.00038885              0              0              0
    0.0386              0              0     -0.0006131              0              0              0
    0.0388              0              0    -0.00079777              0              0              0
     0.039              0              0    -0.00095043              0              0              0
    0.0392              0              0      -0.001078              0              0              0
    0.0394              0              0     -0.0011865              0              0              0
    0.0396              0              0     -0.0012813              0              0              0
    0.0398              0              0      -0.001367              0              0              0
      0.04              0              0     -0.0014472              0              0              0
    0.0402              0              0     -0.0015249              0              0              0
    0.0404              0              0      -0.001602              0              0              0
    0.0406              0              0     -0.0016802              0              0              0
    0.0408              0              0     -0.0017602              0              0              0
     0.041              0              0     -0.0018422              0              0              0
    0.0412              0              0     -0.0019263              0              0              0
    0.0414              0              0     -0.0020116              0              0              0
    0.0416              0              0     -0.0020976              0              0              0
    0.0418              0              0      -0.002183              0              0              0
     0.042              0              0     -0.0022668              0              0              0
    0.0422              0              0     -0.0023476              0              0              0
    0.0424              0              0     -0.0024242              0              0              0
    0.0426              0              0     -0.0024952              0              0              0
    0.0428              0              0     -0.0025596              0              0              0
     0.043              0              0     -0.0026161              0              0              0
    0.0432              0              0     -0.0026639              0              0              0
    0.0434              0              0      -0.002702              0              0              0
    0.0436              0              0     -0.0027297              0              0              0
    0.0438              0              0     -0.0027465              0              0              0
     0.044              0              0     -0.0027519              0              0              0
    0.0442              0              0     -0.0027457              0              0              0
    0.0444              0              0     -0.0027276              0              0              0
    0.0446              0              0     -0.0026976              0              0              0
    0.0448              0              0     -0.0026558              0              0              0
     0.045              0              0     -0.0026024              0              0              0
    0.0452              0              0     -0.0025376              0              0              0
    0.0454              0              0     -0.0024619              0              0              0
    0.0456              0              0     -0.0023756              0              0              0
    0.0458              0              0     -0.0022793              0              0              0
     0.046              0              0     -0.0021736              0              0              0
    0.0462              0              0     -0.0020592              0              0              0
    0.0464              0              0     -0.0019368              0              0              0
    0.0466              0              0     -0.0018072              0              0              0
    0.0468              0              0     -0.0016714              0              0              0
     0.047              0              0     -0.0015301              0              0              0
    0.0472              0              0     -0.0013844              0              0              0
    0.0474              0              0     -0.0012353              0              0              0
    0.0476              0              0     -0.0010837              0              0              0
    0.0478              0              0    -0.00093077              0              0              0
     0.048              0              0    -0.00077747              0              0              0
    0.0482              0              0    -0.00062483              0              0              0
    0.0484              0              0    -0.00047386              0              0              0
    0.0486              0              0    -0.00032551              0              0              0
    0.0488              0              0    -0.00018066              0              0              0
     0.049              0              0    -4.0135e-05              0              0              0
    0.0492              0              0     9.5351e-05              0              0              0
    0.0494              0              0      0.0002252              0              0              0
    0.0496              0              0     0.00034892              0              0              0
    0.0498              0              0     0.00046621              0              0              0
      0.05              0              0     0.00057687              0              0              0
    0.0502              0              0      0.0006809              0              0              0
    0.0504              0              0     0.00077848              0              0              0
    0.0506              0              0     0.00086994              0              0              0
    0.0508              0              0     0.00095583              0              0              0
     0.051              0              0      0.0010368              0              0              0
    0.0512              0              0      0.0011139              0              0              0
    0.0514              0              0      0.0011879              0              0              0
    0.0516              0              0      0.0012603              0              0              0
    0.0518              0              0      0.0013321              0              0              0
     0.052              0              0       0.001405              0              0              0
    0.0522              0              0      0.0014803              0              0              0
    0.0524              0              0      0.0015596              0              0              0
    0.0526              0              0      0.0016444              0              0              0
    0.0528              0              0      0.0017363              0              0              0
     0.053              0              0      0.0018366              0              0              0
    0.0532              0              0      0.0019466              0              0              0
    0.0534              0              0      0.0020675              0              0              0
    0.0536              0              0      0.0022001              0              0              0
    0.0538              0              0      0.0023449              0              0              0
     0.054              0              0      0.0025024              0              0              0
    0.0542              0              0      0.0026722              0              0              0
    0.0544              0              0       0.002854              0              0              0
    0.0546              0              0      0.0030467              0              0              0
    0.0548              0              0      0.0032488              0              0              0
     0.055              0              0      0.0034582              0              0              0
    0.0552              0              0      0.0036724              0              0              0
    0.0554              0              0      0.0038882              0              0              0
    0.0556              0              0       0.004102              0              0              0
    0.0558              0              0      0.0043095              0              0              0
     0.056              0              0       0.004506              0              0              0
    0.0562              0              0      0.0046864              0              0              0
    0.0564              0              0      0.0048451              0              0              0
    0.0566              0              0      0.0049761              0              0              0
    0.0568              0              0      0.0050733              0              0              0
     0.057              0              0      0.0051305              0              0              0
    0.0572              0              0      0.0051415              0              0              0
    0.0574              0              0         0.0051              0              0              0
    0.0576              0              0      0.0050002              0              0              0
    0.0578              0              0      0.0048365              0              0              0
     0.058              0              0      0.0046039              0              0              0
    0.0582              0              0      0.0042983              0              0              0
    0.0584              0              0      0.0039162              0              0              0
    0.0586              0              0      0.0034551              0              0              0
    0.0588              0              0      0.0029136              0              0              0
     0.059              0              0      0.0022917              0              0              0
    0.0592              0              0      0.0015905              0              0              0
    0.0594              0              0     0.00081269              0              0              0
    0.0596              0              0    -3.7717e-05              0              0              0
    0.0598              0              0    -0.00095516              0              0              0
      0.06              0              0     -0.0019326              0              0              0
    0.0602              0              0     -0.0029616              0              0              0
    0.0604              0              0     -0.0040322              0              0              0
    0.0606              0              0     -0.0051334              0              0              0
    0.0608              0              0     -0.0062527              0              0              0
     0.061              0              0     -0.0073769              0              0              0
    0.0612              0              0     -0.0084919              0              0              0
    0.0614              0              0     -0.0095829              0              0              0
    0.0616              0              0      -0.010635              0              0              0
    0.0618              0              0      -0.011632              0              0              0
     0.062              0              0      -0.012561              0              0              0
    0.0622              0              0      -0.013405              0              0              0
    0.0624              0              0      -0.014152              0              0              0
    0.0626              0              0      -0.014787              0              0              0
    0.0628              0              0      -0.015301              0              0              0
     0.063              0              0      -0.015681              0              0              0
    0.0632              0              0      -0.015921              0              0              0
    0.0634              0              0      -0.016012              0              0              0
    0.0636              0              0      -0.015951              0              0              0
    0.0638              0              0      -0.015736              0              0              0
     0.064              0              0      -0.015365              0              0              0
    0.0642              0              0      -0.014842              0              0              0
    0.0644              0              0       -0.01417              0              0              0
    0.0646              0              0      -0.013357              0              0              0
    0.0648              0              0      -0.012411              0              0              0
     0.065              0              0      -0.011343              0              0              0
    0.0652              0              0      -0.010167              0              0              0
    0.0654              0              0     -0.0088951              0              0              0
    0.0656              0              0     -0.0075445              0              0              0
    0.0658              0              0     -0.0061316              0              0              0
     0.066              0              0     -0.0046741              0              0              0
    0.0662              0              0     -0.0031902              0              0              0
    0.0664              0              0      -0.001698              0              0              0
    0.0666              0              0    -0.00021582              0              0              0
    0.0668              0              0      0.0012387              0              0              0
     0.067              0              0      0.0026484              0              0              0
    0.0672              0              0      0.0039975              0              0              0
    0.0674              0              0      0.0052713              0              0              0
    0.0676              0              0      0.0064566              0              0              0
    0.0678              0              0      0.0075419              0              0              0
     0.068              0              0      0.0085176              0              0              0
    0.0682              0              0       0.009376              0              0              0
    0.0684              0              0       0.010111              0              0              0
    0.0686              0              0        0.01072              0              0              0
    0.0688              0              0       0.011201              0              0              0
     0.069              0              0       0.011555              0              0              0
    0.0692              0              0       0.011783              0              0              0
    0.0694              0              0        0.01189              0              0              0
    0.0696              0              0       0.011882              0              0              0
    0.0698              0              0       0.011765              0              0              0
      0.07              0              0       0.011549              0              0              0
    0.0702              0              0       0.011243              0              0              0
    0.0704              0              0       0.010857              0              0              0
    0.0706              0              0       0.010402              0              0              0
    0.0708              0              0      0.0098884              0              0              0
     0.071              0              0      0.0093284              0              0              0
    0.0712              0              0      0.0087329              0              0              0
    0.0714              0              0      0.0081126              0              0              0
    0.0716              0              0       0.007478              0              0              0
    0.0718              0              0      0.0068387              0              0              0
     0.072              0              0      0.0062037              0              0              0
    0.0722              0              0       0.005581              0              0              0
    0.0724              0              0      0.0049778              0              0              0
    0.0726              0              0      0.0044001              0              0              0
    0.0728              0              0       0.003853              0              0              0
     0.073              0              0      0.0033405              0              0              0
    0.0732              0              0      0.0028655              0              0              0
    0.0734              0              0      0.0024301              0              0              0
    0.0736              0              0      0.0020354              0              0              0
    0.0738              0              0      0.0016815              0              0              0
     0.074              0              0      0.0013679              0              0              0
    0.0742              0              0      0.0010934              0              0              0
    0.0744              0              0      0.0008563              0              0              0
    0.0746              0              0     0.00065429              0              0              0
    0.0748              0              0     0.00048481              0              0              0
     0.075              0              0     0.00034502              0              0              0
    0.0752              0              0     0.00023193              0              0              0
    0.0754              0              0     0.00014245              0              0              0
    0.0756              0              0     7.3533e-05              0              0              0
    0.0758              0              0     2.2193e-05              0              0              0
     0.076              0              0    -1.4413e-05              0              0              0
    0.0762              0              0     -3.894e-05              0              0              0
    0.0764              0              0    -5.3821e-05              0              0              0
    0.0766              0              0    -6.1237e-05              0              0              0
    0.0768              0              0    -6.3108e-05              0              0              0
     0.077              0              0     -6.108e-05              0              0              0
    0.0772              0              0    -5.6533e-05              0              0              0
    0.0774              0              0    -5.0586e-05              0              0              0
    0.0776              0              0     -4.412e-05              0              0              0
    0.0778              0              0     -3.779e-05              0              0              0
     0.078              0              0    -3.2058e-05              0              0              0
    0.0782              0              0    -2.7214e-05              0              0              0
    0.0784              0              0    -2.3403e-05              0              0              0
    0.0786              0              0    -2.0658e-05              0              0              0
    0.0788              0              0     -1.892e-05              0              0              0
     0.079              0              0    -1.8067e-05              0              0              0
    0.0792              0              0    -1.7935e-05              0              0              0
    0.0794              0              0    -1.8339e-05              0              0              0
    0.0796              0              0    -1.9085e-05              0              0              0
    0.0798              0              0     -1.999e-05              0              0              0
      0.08              0              0    -2.0887e-05              0              0              0
    0.0802              0              0    -2.1637e-05              0              0              0
    0.0804              0              0    -2.2126e-05              0              0              0
    0.0806              0              0    -2.2277e-05              0              0              0
    0.0808              0              0    -2.2039e-05              0              0              0
     0.081              0              0    -2.1394e-05              0              0              0
    0.0812              0              0    -2.0348e-05              0              0              0
    0.0814              0              0    -1.8929e-05              0              0              0
    0.0816              0              0    -1.7182e-05              0              0              0
    0.0818              0              0    -1.5166e-05              0              0              0
     0.082              0              0    -1.2943e-05              0              0              0
    0.0822              0              0    -1.0581e-05              0              0              0
    0.0824              0              0    -8.1457e-06              0              0              0
    0.0826              0              0    -5.6976e-06              0              0              0
    0.0828              0              0    -3.2908e-06              0              0              0
     0.083              0              0    -9.7019e-07              0              0              0
    0.0832              0              0     1.2288e-06              0              0              0
    0.0834              0              0     3.2811e-06              0              0              0
    0.0836              0              0     5.1713e-06              0              0              0
    0.0838              0              0     6.8926e-06              0              0              0
     0.084              0              0     8.4463e-06              0              0              0
    0.0842              0              0     9.8394e-06              0              0              0
    0.0844              0              0     1.1084e-05              0              0              0
    0.0846              0              0     1.2194e-05              0              0              0
    0.0848              0              0     1.3186e-05              0              0              0
     0.085              0              0     1.4075e-05              0              0              0
    0.0852              0              0     1.4878e-05              0              0              0
    0.0854              0              0     1.5605e-05              0              0              0
    0.0856              0              0     1.6269e-05              0              0              0
    0.0858              0              0     1.6874e-05              0              0              0
     0.086              0              0     1.7427e-05              0              0              0
    0.0862              0              0     1.7928e-05              0              0              0
    0.0864              0              0     1.8377e-05              0              0              0
    0.0866              0              0     1.8771e-05              0              0              0
    0.0868              0              0     1.9107e-05              0              0              0
     0.087              0              0      1.938e-05              0              0              0
    0.0872              0              0     1.9587e-05              0              0              0
    0.0874              0              0     1.9726e-05              0              0              0
    0.0876              0              0     1.9793e-05              0              0              0
    0.0878              0              0     1.9791e-05              0              0              0
     0.088              0              0     1.9721e-05              0              0              0
    0.0882              0              0     1.9588e-05              0              0              0
    0.0884              0              0     1.9399e-05              0              0              0
    0.0886              0              0     1.9163e-05              0              0              0
    0.0888              0              0      1.889e-05              0              0              0
     0.089              0              0     1.8593e-05              0              0              0
