%        w           SZ11           SZ12           SZ13           SZ21           SZ22           SZ23           SZ31           SZ32           SZ33
        71      0.0042214              0     -0.0089052              0     0.00088749              0     -0.0089052              0      -0.001991
        72      0.0039142              0      -0.008705              0      0.0010359              0      -0.008705              0     -0.0014162
        73      0.0035696              0     -0.0083984              0      0.0011746              0     -0.0083984              0    -0.00081653
        74      0.0031846              0     -0.0079847              0      0.0013024              0     -0.0079847              0    -0.00019079
        75      0.0027707              0      -0.007468              0      0.0014182              0      -0.007468              0     0.00044672
        76      0.0023257              0     -0.0068502              0      0.0015211              0     -0.0068502              0      0.0010966
        77      0.0018584              0     -0.0061374              0      0.0016104              0     -0.0061374              0      0.0017481
        78      0.0013777              0     -0.0053367              0      0.0016856              0     -0.0053367              0      0.0023902
        79     0.00088247              0     -0.0044539              0      0.0017461              0     -0.0044539              0      0.0030233
        80     0.00038522              0     -0.0034995              0      0.0017917              0     -0.0034995              0       0.003633
        81    -0.00011492              0     -0.0024814              0      0.0018223              0     -0.0024814              0      0.0042198
        82    -0.00060547              0     -0.0014122              0       0.001838              0     -0.0014122              0      0.0047699
        83     -0.0010873              0    -0.00030152              0      0.0018389              0    -0.00030152              0      0.0052843
        84     -0.0015517              0     0.00083766              0      0.0018253              0     0.00083766              0      0.0057535
        85     -0.0019901              0      0.0019918              0      0.0017978              0      0.0019918              0       0.006169
        86      -0.002404              0      0.0031496              0      0.0017568              0      0.0031496              0      0.0065327
        87     -0.0027826              0      0.0042962              0      0.0017032              0      0.0042962              0      0.0068339
        88     -0.0031279              0      0.0054199              0      0.0016375              0      0.0054199              0      0.0070756
        89     -0.0034302              0      0.0065059              0       0.001561              0      0.0065059              0      0.0072485
        90     -0.0036924              0      0.0075431              0      0.0014742              0      0.0075431              0      0.0073567
        91      -0.003906              0      0.0085173              0      0.0013785              0      0.0085173              0      0.0073929
        92     -0.0040749              0      0.0094183              0      0.0012747              0      0.0094183              0      0.0073621
        93     -0.0041947              0       0.010234              0       0.001164              0       0.010234              0      0.0072616
        94     -0.0042621              0       0.010954              0      0.0010476              0       0.010954              0      0.0070894
        95     -0.0042823              0        0.01157              0     0.00092646              0        0.01157              0      0.0068525
        96     -0.0042506              0       0.012072              0     0.00080194              0       0.012072              0      0.0065478
        97     -0.0041732              0       0.012456              0     0.00067495              0       0.012456              0      0.0061835
        98     -0.0040466              0       0.012714              0     0.00054679              0       0.012714              0       0.005758
        99     -0.0038781              0       0.012843              0     0.00041833              0       0.012843              0      0.0052804
       100     -0.0036656              0       0.012839              0     0.00029079              0       0.012839              0      0.0047505
       101     -0.0034169              0       0.012702              0     0.00016494              0       0.012702              0      0.0041781
       102     -0.0031333              0       0.012433              0     4.1804e-05              0       0.012433              0      0.0035664
       103      -0.002817              0        0.01203              0    -7.7641e-05              0        0.01203              0      0.0029195
       104     -0.0024762              0         0.0115              0    -0.00019287              0         0.0115              0      0.0022476
       105     -0.0021119              0       0.010845              0     -0.0003029              0       0.010845              0      0.0015535
       106     -0.0017327              0       0.010073              0    -0.00040739              0       0.010073              0     0.00084736
       107     -0.0013401              0      0.0091896              0     -0.0005055              0      0.0091896              0     0.00013285
       108     -0.0009353              0      0.0081978              0    -0.00059726              0      0.0081978              0    -0.00059035
       109    -0.00052288              0      0.0071047              0    -0.00068201              0      0.0071047              0     -0.0013152
       110    -0.00011901              0      0.0059315              0    -0.00075959              0      0.0059315              0     -0.0020215
       111      0.0002722              0      0.0046893              0    -0.00082966              0      0.0046893              0     -0.0027035
       112     0.00064499              0      0.0033904              0    -0.00089193              0      0.0033904              0     -0.0033534
       113     0.00099546              0      0.0020501              0    -0.00094675              0      0.0020501              0     -0.0039674
       114      0.0013176              0     0.00068105              0    -0.00099379              0     0.00068105              0     -0.0045371
       115      0.0016096              0     -0.0007008              0     -0.0010335              0     -0.0007008              0     -0.0050611
       116       0.001865              0     -0.0020819              0     -0.0010658              0     -0.0020819              0     -0.0055307
       117      0.0020808              0     -0.0034469              0     -0.0010908              0     -0.0034469              0     -0.0059421
       118      0.0022586              0     -0.0047811              0     -0.0011093              0     -0.0047811              0     -0.0062986
       119      0.0023915              0     -0.0060708              0     -0.0011211              0     -0.0060708              0     -0.0065903
       120      0.0024816              0     -0.0073018              0      -0.001127              0     -0.0073018              0     -0.0068207
       121       0.002524              0     -0.0084613              0     -0.0011269              0     -0.0084613              0     -0.0069827
       122      0.0025187              0     -0.0095368              0     -0.0011213              0     -0.0095368              0     -0.0070762
       123      0.0024687              0      -0.010517              0      -0.001111              0      -0.010517              0     -0.0071056
       124      0.0023751              0      -0.011391              0     -0.0010962              0      -0.011391              0     -0.0070721
       125      0.0022352              0      -0.012151              0     -0.0010773              0      -0.012151              0     -0.0069711
       126      0.0020515              0      -0.012787              0     -0.0010547              0      -0.012787              0     -0.0068054
       127      0.0018275              0      -0.013294              0     -0.0010289              0      -0.013294              0     -0.0065796
       128      0.0015671              0      -0.013666              0     -0.0010004              0      -0.013666              0     -0.0062983
       129      0.0012737              0        -0.0139              0    -0.00096978              0        -0.0139              0     -0.0059652
       130     0.00094779              0      -0.013993              0    -0.00093707              0      -0.013993              0     -0.0055798
       131     0.00059389              0      -0.013944              0    -0.00090268              0      -0.013944              0     -0.0051472
       132     0.00021824              0      -0.013754              0    -0.00086718              0      -0.013754              0     -0.0046752
       133    -0.00017648              0      -0.013427              0    -0.00083069              0      -0.013427              0      -0.004166
       134    -0.00058386              0      -0.012964              0    -0.00079368              0      -0.012964              0     -0.0036276
       135     -0.0010005              0      -0.012372              0    -0.00075622              0      -0.012372              0      -0.003063
